ilat	ilon	d	mrad
0	2	2014-03-05	43.713783052108525
1	2	2014-03-08	46.24638039996831
2	0	2014-08-30	48.427680757310654
2	2	2014-02-28	50.647232840881784
2	2	2014-09-07	50.3445079127283
0	0	2015-01-03	43.07955684580005
0	1	2014-02-16	43.87368031511403
0	1	2014-06-24	46.61420372626779
1	0	2014-10-01	45.46332646504895
1	1	2014-08-06	46.71941025160888
1	2	2014-03-07	45.52997862112027
1	2	2014-09-21	47.397671746330026
0	0	2014-07-24	44.850029270172904
0	1	2014-01-24	42.77863015982594
1	2	2014-04-27	46.74351169662542
2	0	2014-05-09	50.48825028955465
2	0	2014-06-15	52.796642826980914
2	2	2014-06-30	50.72187707220616
2	2	2014-07-01	52.0346919468471
1	2	2014-06-10	50.14298940229644
1	2	2014-11-01	45.71708355550327
0	0	2014-06-29	46.187803491102535
0	2	2014-02-27	43.81354790355173
1	2	2014-07-20	47.643623676302916
0	2	2014-06-15	48.2602841389825
1	1	2014-09-21	45.12407110298649
1	1	2014-02-22	46.86049875523876
2	0	2015-01-20	45.41894580156375
2	2	2015-01-22	46.22527131192025
0	1	2014-07-29	46.0520827984343
0	2	2014-06-12	47.22932492114724
0	2	2014-08-02	47.25190381401611
1	2	2014-05-16	51.04903260040871
2	0	2014-10-01	46.02754542359831
2	1	2014-08-06	48.22093443112953
2	2	2014-03-07	48.48322421071971
2	2	2014-09-21	49.413490812355114
0	0	2014-01-10	42.82366517512857
0	2	2014-02-07	43.53679612496156
1	0	2014-12-01	43.8985989036398
2	2	2014-06-26	52.39502247897062
1	1	2014-03-05	47.09274058397642
1	2	2014-11-22	45.838571434021
1	2	2015-01-01	40.567338045734964
0	1	2014-02-28	43.50011975806458
2	2	2014-04-16	50.57288646876924
1	1	2014-03-12	44.85990510922726
0	0	2014-09-16	44.62826592941915
0	1	2015-01-07	41.057029423345014
1	1	2014-09-28	43.597133545706114
1	1	2015-01-14	43.83756407315363
2	2	2014-04-14	49.43019840835165
1	2	2014-04-06	46.31448284616808
2	1	2014-06-25	53.19881887826094
0	2	2014-05-16	46.84543198350646
0	2	2014-12-27	40.86486923812592
2	1	2014-12-01	44.583952875862344
0	0	2014-12-03	42.3464423663518
1	0	2014-12-02	42.44149111765029
1	1	2014-01-28	44.0134148230401
1	2	2014-03-13	46.250384845790244
1	2	2014-11-08	44.79874411138869
2	0	2014-09-26	44.513534365202254
2	2	2014-08-31	49.64619186384817
0	0	2014-01-02	44.11762889340361
0	0	2014-09-10	44.82510514327331
0	0	2014-11-10	43.63031688545431
1	0	2014-10-05	45.68781103786957
2	1	2014-12-04	43.07309060159365
2	2	2014-02-02	41.87694645202813
